interaction_id,customer_id,agent_id,interaction_datetime,interaction_duration_seconds,call_direction,call_channel,call_status,customer_satisfaction_score,speech_sentiment_score,speech_transcript,topics_detected,issue_resolved,follow_up_required,follow_up_due_date,language,customer_feedback_text,agent_notes,call_hour,call_dayofweek,hour
INT00001,CUST00001,AGT0001,2024-01-01 09:10:13,415,inbound,phone,completed,4.7,0.82,"Hello, I need help resetting my password please.","['password_reset', 'online_banking']",True,False,,en,"Thank you for your help, great service.",Customer called regarding password reset. Issue resolved during the call. Provided instructions and ensured access was restored.,9,Monday,9
INT00002,CUST00002,AGT0002,2024-01-01 11:24:50,23,outbound,phone,dropped,,,,[],False,False,,en,,Call dropped instantly. No customer response.,11,Monday,11
INT00003,CUST00003,AGT0003,2024-01-01 13:32:05,198,inbound,chat,completed,4.1,0.63,"Hi, I want to check my last three statements.","['statement_request', 'balance_inquiry']",True,False,,es,"Gracias, todo bien.",Customer requested recent statements. Provided download links and confirmed understanding.,13,Monday,13
INT00004,CUST00001,AGT0004,2024-01-02 10:45:14,37,inbound,phone,abandoned,0.0,-0.95,,[],False,False,,en,,Caller disconnected before an agent could answer.,10,Tuesday,10
INT00005,CUST00004,AGT0001,2024-01-02 15:08:55,720,inbound,phone,completed,4.5,0.91,I am having trouble with my debit card online purchase.,"['card_issue', 'online_payment']",True,False,,en,Resolved my issue quickly.,Customer reported card decline online. Walked through troubleshooting and resolved the problem.,15,Tuesday,15
INT00006,CUST00005,AGT0005,2024-01-02 16:42:30,312,outbound,video,completed,4.2,0.78,"Hi, we are reaching out to discuss your account upgrade options.","['customer_outreach', 'account_upgrade']",True,False,,fr,Merci pour l'information.,Proactive outreach regarding account upgrades. Customer interested in more info.,16,Tuesday,16
INT00007,CUST00006,AGT0006,2024-01-03 10:14:07,51,outbound,phone,abandoned,,,,[],False,False,,en,,Outbound call not answered by customer.,10,Wednesday,10
INT00008,CUST00007,AGT0007,2024-01-03 11:25:10,1680,inbound,phone,transferred,1.5,-0.62,I'm not happy with the recent charges. Can I speak to a supervisor?,"['complaint', 'fees', 'escalation']",False,True,2024-01-09,en,Still waiting for resolution.,Customer escalated complaint regarding fees. Call transferred to supervisor. Follow-up required.,11,Wednesday,11
INT00009,CUST00008,AGT0008,2024-01-03 14:05:34,603,inbound,chat,completed,3.9,0.47,Can you help me update the email address on my account?,"['profile_update', 'account_access']",True,False,,en,"Quick help, thanks.",Assisted customer with updating email address. Issue resolved with no follow-up required.,14,Wednesday,14
INT00010,CUST00009,AGT0002,2024-01-04 09:05:11,39,inbound,phone,dropped,0.0,-1.0,,[],False,False,,en,,Customer hung up before speaking to agent.,9,Thursday,9
INT00011,CUST00010,AGT0006,2024-01-04 11:32:08,549,inbound,phone,completed,4.6,0.75,"I'd like to open a new savings account, please.","['account_opening', 'product_info']",True,False,,en,"Very helpful, thank you.",Explained savings account options. Customer chose to open a new account. No follow-up needed.,11,Thursday,11
INT00012,CUST00011,AGT0009,2024-01-05 12:20:22,287,inbound,chat,completed,4.3,0.67,How do I set up alerts for my balance?,"['alerts', 'online_banking']",True,False,,en,"Easy to set up, thanks.",Guided the customer through setting up balance alerts. No issues reported.,12,Friday,12
INT00013,CUST00012,AGT0003,2024-01-06 11:15:19,34,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer from customer, call ended.",11,Saturday,11
INT00014,CUST00013,AGT0010,2024-01-07 10:00:00,188,inbound,chat,completed,3.8,0.51,Can you help me check my loan application status?,"['loan_status', 'application']",True,False,,en,Fast chat support.,Provided loan application status. No further action needed.,10,Sunday,10
INT00015,CUST00014,AGT0011,2024-01-07 14:33:27,552,outbound,video,completed,4.9,0.97,"Good afternoon, we are offering a loyalty bonus to valued clients.","['customer_outreach', 'loyalty']",True,False,,en,"Loved the offer, thank you.",Discussed loyalty program offers. Customer was very pleased.,14,Sunday,14
INT00016,CUST00015,AGT0012,2024-01-08 09:28:34,26,inbound,phone,dropped,,,,[],False,False,,fr,,No connection; call dropped after greeting.,9,Monday,9
INT00017,CUST00016,AGT0013,2024-01-08 12:45:00,466,inbound,phone,completed,4.2,0.7,Can you explain the charges on my statement?,"['statement_inquiry', 'fees']",True,False,,en,Agent clarified everything.,Reviewed statement charges with customer. All questions answered.,12,Monday,12
INT00018,CUST00017,AGT0014,2024-01-09 11:20:40,320,inbound,chat,completed,3.5,0.59,I want to update my mobile number.,"['profile_update', 'contact_info']",True,False,,es,Buen servicio.,Assisted customer with contact information update.,11,Tuesday,11
INT00019,CUST00018,AGT0007,2024-01-09 13:30:29,419,outbound,video,completed,4.0,0.52,We wanted to inform you about new savings options.,"['customer_outreach', 'product_info']",True,False,,en,Thank you for letting me know.,Provided details on new savings products. Customer was receptive.,13,Tuesday,13
INT00020,CUST00019,AGT0015,2024-01-10 10:20:10,41,inbound,phone,dropped,,,,[],False,False,,en,,"No response after greeting, call terminated.",10,Wednesday,10
INT00021,CUST00020,AGT0003,2024-01-10 15:14:15,870,outbound,phone,transferred,0.9,-0.74,"I need to dispute a transaction, can you help?","['dispute', 'escalation']",False,True,2024-01-13,en,Waiting for follow-up.,Call required escalation to dispute team. Follow-up scheduled.,15,Wednesday,15
INT00022,CUST00021,AGT0016,2024-01-11 09:40:49,314,inbound,phone,completed,3.7,0.54,How do I set up direct deposit?,"['direct_deposit', 'account_info']",True,False,,en,"All clear, thanks.",Explained direct deposit setup process. No follow-up required.,9,Thursday,9
INT00023,CUST00022,AGT0017,2024-01-12 10:35:13,123,inbound,chat,completed,4.0,0.58,Can I get a copy of my last credit card statement?,"['statement_request', 'credit_card']",True,False,,en,Quick response.,Provided requested statement via secure link.,10,Friday,10
INT00024,CUST00023,AGT0018,2024-01-13 14:20:41,390,outbound,video,completed,4.4,0.85,We have an exclusive offer for your account.,"['customer_outreach', 'offer']",True,False,,fr,J'apprécie l'offre.,Customer was receptive to the promotional offer.,14,Saturday,14
INT00025,CUST00024,AGT0019,2024-01-14 12:44:59,28,inbound,phone,abandoned,0.0,,,[],False,False,,en,,"No customer response, call ended.",12,Sunday,12
INT00026,CUST00025,AGT0020,2024-01-14 16:53:10,583,inbound,phone,completed,4.4,0.85,I want to change my PIN code.,"['pin_change', 'security']",True,False,,en,Quick and secure service.,Walked customer through PIN change process.,16,Sunday,16
INT00027,CUST00026,AGT0021,2024-01-15 09:11:33,390,inbound,chat,completed,4.1,0.66,Is there a way to pause my credit card?,"['credit_card', 'pause_card']",True,False,,en,Very helpful.,Explained how to temporarily disable credit card. Customer satisfied.,9,Monday,9
INT00028,CUST00027,AGT0022,2024-01-15 13:29:50,32,outbound,phone,dropped,,,,[],False,False,,es,,Outbound call not completed.,13,Monday,13
INT00029,CUST00028,AGT0023,2024-01-16 16:55:15,803,outbound,video,completed,3.9,0.51,We'd like to inform you about our new credit products.,"['customer_outreach', 'credit_card']",True,False,,en,Interesting offers.,Explained new credit card options. Customer will consider.,16,Tuesday,16
INT00030,CUST00015,AGT0012,2024-01-17 14:44:22,601,inbound,phone,completed,4.7,0.93,I have a question about my recent deposit.,"['deposit_inquiry', 'account_info']",True,False,,en,Quickly sorted out.,Clarified recent deposit details for customer.,14,Wednesday,14
INT00031,CUST00029,AGT0024,2024-01-17 17:05:01,480,inbound,chat,completed,3.6,0.45,I want to set up a travel notice.,"['travel_notice', 'security']",True,False,,en,Easy process.,Assisted customer in setting up travel notification.,17,Wednesday,17
INT00032,CUST00030,AGT0025,2024-01-18 10:12:22,19,inbound,phone,abandoned,,,,[],False,False,,en,,Call abandoned immediately.,10,Thursday,10
INT00033,CUST00031,AGT0017,2024-01-18 14:10:45,1544,inbound,phone,transferred,1.0,-0.64,I want to close my account due to multiple issues.,"['complaint', 'account_closure', 'escalation']",False,True,2024-01-23,en,Waiting for resolution.,Account closure request escalated. Follow-up scheduled.,14,Thursday,14
INT00034,CUST00032,AGT0026,2024-01-19 10:50:50,257,inbound,chat,completed,3.7,0.54,Can I get information about your mortgage rates?,"['mortgage', 'product_info']",True,False,,en,Thank you for the details.,Provided current mortgage rate information.,10,Friday,10
INT00035,CUST00033,AGT0027,2024-01-19 13:07:07,605,outbound,phone,completed,4.3,0.88,We wanted to inform you of a new interest rate promotion.,"['customer_outreach', 'promotion']",True,False,,es,Gracias por la información.,Explained latest promotion. Customer interested.,13,Friday,13
INT00036,CUST00034,AGT0028,2024-01-20 11:11:11,58,inbound,phone,dropped,,,,[],False,False,,en,,Customer disconnected before agent could speak.,11,Saturday,11
INT00037,CUST00035,AGT0029,2024-01-21 14:44:44,477,inbound,chat,completed,3.9,0.46,I want to update my mailing address.,"['profile_update', 'contact_info']",True,False,,en,Thanks for your help.,Updated mailing address for customer.,14,Sunday,14
INT00038,CUST00036,AGT0030,2024-01-22 10:10:10,28,inbound,phone,abandoned,,-0.88,,[],False,False,,en,,Call abandoned before agent could answer.,10,Monday,10
INT00039,CUST00037,AGT0031,2024-01-22 13:21:17,307,inbound,chat,completed,3.8,0.57,Can you tell me my current balance?,"['balance_inquiry', 'account_info']",True,False,,en,Fast and accurate.,Provided current balance as requested.,13,Monday,13
INT00040,CUST00038,AGT0032,2024-01-22 17:55:55,1107,inbound,phone,transferred,2.2,-0.46,I have a complaint about your online banking platform.,"['complaint', 'online_banking', 'escalation']",False,True,2024-01-25,en,Issue not resolved.,Escalated complaint about online banking usability.,17,Monday,17
INT00041,CUST00039,AGT0033,2024-01-23 10:15:20,234,outbound,phone,completed,3.6,0.42,I wanted to discuss your investment options.,"['customer_outreach', 'investment']",True,False,,en,Good information.,Shared details about investment products.,10,Tuesday,10
INT00042,CUST00040,AGT0011,2024-01-24 09:22:45,28,inbound,phone,dropped,,,,[],False,False,,fr,,No response after greeting.,9,Wednesday,9
INT00043,CUST00041,AGT0015,2024-01-24 15:10:05,404,inbound,phone,completed,3.9,0.55,I want to check the status of my loan application.,"['loan_status', 'application']",True,False,,en,Thanks for the update.,Confirmed loan status for the customer.,15,Wednesday,15
INT00044,CUST00042,AGT0034,2024-01-25 10:30:30,27,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer, call ended.",10,Thursday,10
INT00045,CUST00043,AGT0035,2024-01-25 13:14:20,385,inbound,chat,completed,4.5,0.88,Can I update my address online?,"['profile_update', 'online_banking']",True,False,,en,Very easy process.,Assisted with online address update.,13,Thursday,13
INT00046,CUST00044,AGT0036,2024-01-26 10:20:20,321,outbound,video,completed,4.1,0.67,We are inviting you to our new financial seminar.,"['customer_outreach', 'seminar']",True,False,,fr,Merci pour l'invitation.,Invited customer to upcoming financial seminar.,10,Friday,10
INT00047,CUST00045,AGT0037,2024-01-26 11:33:33,45,inbound,phone,dropped,,,,[],False,False,,en,,Call disconnected after greeting.,11,Friday,11
INT00048,CUST00046,AGT0038,2024-01-27 10:10:10,432,inbound,chat,completed,4.0,0.61,Can I get help with enrolling in e-statements?,"['enrollment', 'e_statement']",True,False,,en,Very helpful.,Assisted customer with e-statement enrollment.,10,Saturday,10
INT00049,CUST00047,AGT0024,2024-01-27 16:26:26,209,inbound,phone,completed,3.6,0.44,How do I check pending transactions?,"['transactions', 'pending']",True,False,,en,Agent helped me understand.,Explained how to view pending transactions.,16,Saturday,16
INT00050,CUST00048,AGT0039,2024-01-28 11:55:55,19,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer, outbound call ended.",11,Sunday,11
INT20001,CUST00001,AGT1001,2024-03-12 14:23:45,387,inbound,chat,completed,4.1,0.68,"Hello, I would like to check my recent transactions.","['balance_inquiry', 'transaction_history']",True,False,,en,Thank you for the quick response.,Customer inquired about transactions. Provided statement details and answered all questions.,14,Tuesday,14
INT20002,CUST00002,AGT1002,2024-03-12 09:15:30,24,outbound,phone,abandoned,,,,[],False,False,,en,,"Outbound call not connected, customer did not answer.",9,Tuesday,9
INT20003,CUST00003,AGT1003,2024-03-13 16:40:01,275,inbound,phone,completed,4.7,0.92,"Hi, I forgot my password and need a reset.",['password_reset'],True,False,,en,"Very helpful, thanks!",Guided the customer through password reset. Confirmed access restored.,16,Wednesday,16
INT20004,CUST00004,AGT1004,2024-03-14 11:04:18,54,inbound,phone,dropped,0.0,,,[],False,False,,es,,Call dropped before agent could assist.,11,Thursday,11
INT20005,CUST00005,AGT1005,2024-03-15 08:22:54,423,outbound,video,completed,4.4,0.74,"Good morning, we are reaching out to discuss your new credit card benefits.","['customer_outreach', 'loyalty']",True,False,,fr,Merci pour l'information.,Explained new card features and loyalty points. Customer was pleased.,8,Friday,8
INT20006,CUST00006,AGT1006,2024-03-15 21:30:15,32,inbound,phone,abandoned,,,,[],False,False,,en,,Customer disconnected before speaking.,21,Friday,21
INT20007,CUST00007,AGT1003,2024-03-16 13:07:45,801,inbound,phone,completed,4.9,0.97,Thank you for taking the time to help me with my statement request.,['statement_request'],True,False,,en,Excellent service as always.,Assisted with statement request. Customer happy with resolution.,13,Saturday,13
INT20008,CUST00002,AGT1002,2024-03-17 10:55:12,127,inbound,chat,completed,3.8,0.61,I need help setting up an online banking profile.,['online_banking'],True,False,,en,"Setup was fast, thank you.",Helped customer register for online banking and reviewed key features.,10,Sunday,10
INT20009,CUST00008,AGT1007,2024-03-17 19:25:03,18,outbound,phone,dropped,0.0,,,[],False,False,,en,,Call dropped before connection.,19,Sunday,19
INT20010,CUST00009,AGT1008,2024-03-18 15:48:39,552,inbound,chat,completed,4.3,0.77,Can you help me activate my new debit card?,['card_activation'],True,False,,es,"Servicio rápido, gracias.",Guided customer through debit card activation steps.,15,Monday,15
INT20011,CUST00010,AGT1009,2024-03-19 09:10:07,614,outbound,video,completed,4.6,0.82,"Hello, we wanted to let you know about our latest savings offers.","['customer_outreach', 'offers']",True,False,,en,The offers were interesting.,Discussed new savings offers. Customer was receptive to information.,9,Tuesday,9
INT20012,CUST00011,AGT1010,2024-03-19 17:22:16,49,inbound,phone,dropped,0.0,,,[],False,False,,en,,Customer dropped call while waiting.,17,Tuesday,17
INT20013,CUST00012,AGT1011,2024-03-20 08:17:31,829,outbound,phone,transferred,1.8,-0.42,I'm not happy with the account fees. I'd like to speak to a manager.,"['complaint', 'escalation', 'account_fees']",False,True,2024-03-24,en,,Escalated complaint about account fees. Manager follow-up required.,8,Wednesday,8
INT20014,CUST00013,AGT1012,2024-03-20 19:36:59,212,inbound,chat,completed,3.7,0.54,Can you help me update my address?,['profile_update'],True,False,,en,Address updated quickly.,Updated customer's address per request and verified profile.,19,Wednesday,19
INT20015,CUST00014,AGT1005,2024-03-21 13:02:44,501,inbound,phone,completed,4.2,0.73,I am unable to access my online banking account.,"['account_access', 'online_banking']",True,False,,es,Gracias por la ayuda.,Resolved login issue; provided steps for future reference.,13,Thursday,13
INT20016,CUST00006,AGT1001,2024-03-22 10:11:59,36,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer, call was not completed.",10,Friday,10
INT20017,CUST00015,AGT1013,2024-03-22 18:48:27,97,inbound,chat,completed,3.9,0.62,How do I set up automatic payments?,"['auto_payment', 'account_management']",True,False,,fr,Merci beaucoup.,Explained auto payment setup and confirmed enrollment.,18,Friday,18
INT20018,CUST00016,AGT1014,2024-03-23 09:59:12,144,inbound,phone,completed,3.6,0.58,I'd like to know how to apply for a car loan.,"['loan_inquiry', 'application']",True,False,,en,"Good information, thanks.",Discussed loan application steps and documentation required.,9,Saturday,9
INT20019,CUST00017,AGT1015,2024-03-23 17:37:21,260,outbound,video,completed,4.5,0.83,We are inviting you to participate in our loyalty program.,"['customer_outreach', 'loyalty']",True,False,,fr,Content de participer.,Explained loyalty program details. Customer accepted invitation.,17,Saturday,17
INT20020,CUST00018,AGT1016,2024-03-24 11:25:08,46,inbound,phone,dropped,0.0,,,[],False,False,,en,,Call dropped before agent could assist.,11,Sunday,11
INT20021,CUST00019,AGT1002,2024-03-24 13:57:41,387,inbound,chat,completed,4.0,0.67,Can you help me get a copy of my last statement?,['statement_request'],True,False,,en,"Got my statement, thank you.",Provided digital statement and confirmed delivery.,13,Sunday,13
INT20022,CUST00020,AGT1017,2024-03-25 10:32:14,776,outbound,phone,transferred,2.1,-0.59,I want to escalate my complaint about a fraudulent charge.,"['fraud', 'escalation', 'complaint']",False,True,2024-03-29,en,,Transferred call to fraud investigation team for resolution.,10,Monday,10
INT20023,CUST00021,AGT1018,2024-03-25 18:23:44,402,inbound,phone,completed,4.1,0.65,I need to update my phone number on file.,['profile_update'],True,False,,en,Fast and easy update.,Phone number updated and confirmed with customer.,18,Monday,18
INT20024,CUST00022,AGT1019,2024-03-26 08:38:12,37,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer, call not connected.",8,Tuesday,8
INT20025,CUST00023,AGT1004,2024-03-27 15:59:01,811,inbound,video,completed,4.8,0.91,Thank you for explaining the new mobile features.,"['mobile_banking', 'features']",True,False,,fr,"Très utile, merci.",Reviewed new app features with customer. Positive feedback received.,15,Wednesday,15
INT20026,CUST00024,AGT1020,2024-03-27 19:04:44,73,inbound,chat,completed,3.5,0.52,How do I change my email address?,"['profile_update', 'email_update']",True,False,,en,Thanks for the help.,Helped customer update email and saved changes in profile.,19,Wednesday,19
INT20027,CUST00025,AGT1021,2024-03-28 14:41:18,883,outbound,phone,transferred,1.3,-0.77,I'm having ongoing issues with my account. Please escalate.,"['complaint', 'escalation', 'account_issues']",False,True,2024-04-02,en,,Escalated long-standing account issue. Scheduled manager callback.,14,Thursday,14
INT20028,CUST00026,AGT1022,2024-03-28 16:53:29,297,inbound,phone,completed,3.6,0.59,Can I get help with setting up bill pay?,"['bill_pay', 'account_management']",True,False,,en,"Bill pay set up, thank you.",Guided customer through bill pay enrollment and confirmed success.,16,Thursday,16
INT20029,CUST00027,AGT1001,2024-03-29 10:19:22,59,inbound,phone,dropped,0.0,,,[],False,False,,fr,,Call dropped within the first minute.,10,Friday,10
INT20030,CUST00028,AGT1023,2024-03-29 14:51:38,927,outbound,video,completed,4.7,0.94,We are excited to invite you to our premium customer event.,"['customer_outreach', 'event_invitation']",True,False,,en,Looking forward to the event.,Invited customer to exclusive event. RSVP received.,14,Friday,14
INT20031,CUST00029,AGT1024,2024-03-30 12:08:56,45,outbound,phone,abandoned,,,,[],False,False,,es,,"No contact, customer did not answer.",12,Saturday,12
INT20032,CUST00030,AGT1025,2024-03-31 18:21:42,211,inbound,chat,completed,3.8,0.63,Can I check the status of my loan application?,"['loan_inquiry', 'application_status']",True,False,,en,Loan status was clear.,Provided loan application status and next steps.,18,Sunday,18
INT20033,CUST00031,AGT1026,2024-04-01 09:45:11,739,outbound,phone,transferred,2.3,-0.34,I want to dispute a recent transaction. Please transfer me.,"['transaction_dispute', 'escalation']",False,True,2024-04-05,en,,Dispute escalated to investigations. Follow-up scheduled.,9,Monday,9
INT20034,CUST00032,AGT1027,2024-04-02 16:22:53,61,inbound,phone,dropped,0.0,,,[],False,False,,en,,Call dropped before customer spoke.,16,Tuesday,16
INT20035,CUST00033,AGT1028,2024-04-03 08:15:22,159,inbound,chat,completed,4.2,0.74,How do I change my PIN?,"['profile_update', 'pin_change']",True,False,,en,PIN change was easy.,Walked customer through PIN change process.,8,Wednesday,8
INT20036,CUST00034,AGT1029,2024-04-03 15:20:17,117,inbound,phone,completed,3.7,0.55,I want to check my account balance.,['balance_inquiry'],True,False,,en,Quick response.,Provided account balance and confirmed customer satisfaction.,15,Wednesday,15
INT20037,CUST00035,AGT1030,2024-04-04 11:14:53,24,outbound,phone,abandoned,,,,[],False,False,,fr,,"No answer, call terminated quickly.",11,Thursday,11
INT20038,CUST00036,AGT1031,2024-04-05 09:56:29,102,inbound,chat,completed,3.7,0.52,How can I update my mailing address?,"['profile_update', 'address_change']",True,False,,en,Address updated easily.,Supported customer with address change. Verified update.,9,Friday,9
INT20039,CUST00037,AGT1032,2024-04-05 17:01:13,77,inbound,phone,dropped,0.0,,,[],False,False,,en,,Customer disconnected after short wait.,17,Friday,17
INT20040,CUST00038,AGT1033,2024-04-06 08:40:49,312,inbound,chat,completed,4.5,0.91,Can I get help enrolling in mobile banking?,"['mobile_banking', 'enrollment']",True,False,,es,Fácil y rápido.,Assisted with mobile banking enrollment. Customer satisfied.,8,Saturday,8
INT20041,CUST00039,AGT1034,2024-04-06 17:35:17,178,inbound,phone,completed,3.8,0.59,I'd like to set up a standing order for my rent.,"['auto_payment', 'account_management']",True,False,,en,Setup was simple.,Standing order created for rent payment.,17,Saturday,17
INT20042,CUST00040,AGT1035,2024-04-07 12:33:05,918,outbound,video,completed,4.6,0.88,We wanted to thank you for being a loyal customer.,"['customer_outreach', 'loyalty']",True,False,,fr,Merci pour votre appel.,Loyalty outreach call. Customer was appreciative.,12,Sunday,12
INT20043,CUST00041,AGT1036,2024-04-07 19:47:18,62,inbound,phone,dropped,0.0,,,[],False,False,,en,,Customer hung up after short wait.,19,Sunday,19
INT20044,CUST00042,AGT1037,2024-04-08 10:10:37,218,inbound,chat,completed,3.5,0.51,What is the status of my recent application?,['application_status'],True,False,,en,Status was clear.,Provided application status update.,10,Monday,10
INT20045,CUST00043,AGT1038,2024-04-08 15:22:49,782,outbound,phone,transferred,1.6,-0.62,I'm not satisfied with my investment returns.,"['investment', 'escalation', 'complaint']",False,True,2024-04-12,en,,Investment complaint escalated. Arranged callback from advisor.,15,Monday,15
INT20046,CUST00044,AGT1039,2024-04-09 16:41:15,39,outbound,phone,abandoned,,,,[],False,False,,en,,"No answer, call ended quickly.",16,Tuesday,16
INT20047,CUST00045,AGT1040,2024-04-10 08:17:40,134,inbound,chat,completed,3.9,0.68,How can I manage my account notifications?,"['account_management', 'notifications']",True,False,,en,Now I know how to manage alerts.,Explained notification settings and how to update preferences.,8,Wednesday,8
INT20048,CUST00046,AGT1041,2024-04-10 14:20:05,62,inbound,phone,dropped,0.0,,,[],False,False,,en,,Call dropped while on hold.,14,Wednesday,14
